date,portfolio,benchmark
2019-02-07,27118.99800237568,14114.026288400044
2019-02-08,27186.423779243996,14078.58679232037
2019-02-11,27016.35841947624,14048.742833216746
2019-02-12,27301.87116429187,14257.709689435103
2019-02-13,27344.491929982774,14323.604283712672
2019-02-14,27307.604787500724,14265.35330903891
2019-02-15,27671.062652323246,14514.251205110439
2019-02-19,27694.531756526303,14518.776701055836
2019-02-20,27705.69801698125,14554.17129265009
2019-02-21,27720.11878831267,14495.959746304992
2019-02-22,27959.843725583116,14597.557787418005
2019-02-25,28093.25166602908,14631.281055969499
2019-02-26,28147.56998240653,14612.232792299998
2019-02-27,28159.194866341524,14571.39818658164
2019-02-28,28020.90445717459,14532.61604441645
2019-03-01,28236.43031464012,14594.479092088257
2019-03-04,28052.539026140243,14478.587186603656
2019-03-05,28058.80853776179,14471.28637441294
2019-03-06,28004.071508793288,14396.610215157105
2019-03-07,27918.498941242266,14284.329287439197
2019-03-08,27920.00111609631,14271.43731919784
2019-03-11,28215.86172289418,14383.948245499612
2019-03-12,28241.158100240078,14329.991672956034
2019-03-13,28337.978323356765,14413.113161165156
2019-03-14,28379.933031392942,14417.065851113593
2019-03-15,28510.180647555844,14494.97184762572
2019-03-18,28548.90318434708,14531.550384311206
2019-03-19,28274.68422481637,14516.567619419371
2019-03-20,28118.353071930393,14437.102013462363
2019-03-21,28346.09422982139,14558.696788595487
2019-03-22,28352.923640348818,14300.641663192044
2019-03-25,28362.226729936097,14308.778136904139
2019-03-26,28598.992568884292,14387.789221850171
2019-03-27,28611.421868605266,14369.766094725903
2019-03-28,28525.100768690074,14421.283587049153
2019-03-29,28593.87499037926,14539.72628635196
2019-04-01,28808.91119318793,14724.63090977254
2019-04-02,28761.50869641757,14680.168897817213
2019-04-03,28862.84697388413,14702.038477448803
2019-04-04,28977.719029959942,14795.404759722122
2019-04-05,29114.596258764785,14818.036620374523
2019-04-08,29244.47508752103,14770.94933886907
2019-04-09,29063.90148174314,14664.158805917446
2019-04-10,29069.762974750127,14667.848640341468
2019-04-11,29140.125078347046,14659.936689056482
2019-04-12,29485.916194304715,14810.920902282254
2019-04-15,29507.869480376106,14795.482521148095
2019-04-16,29498.31175163501,14833.552762934654
2019-04-17,29619.834556899463,14831.80258323457
2019-04-18,29432.933342471875,14893.486012964691
2019-04-22,29369.421511615583,14866.29579942634
2019-04-23,29456.947318120787,14947.796345234883
2019-04-24,29423.63070573088,14914.521026306253
2019-04-25,29445.724956518978,14838.835063744107
2019-04-26,29634.033896555524,14884.396687976581
2019-04-29,29633.133034787126,14890.5989831215
2019-04-30,29792.88589419447,14912.199135840558
2019-05-01,29359.560760308166,14820.924745449067
2019-05-02,29033.780782148184,14752.315072650528
2019-05-03,29445.972668329137,14862.874296683496
2019-05-06,29108.051443116754,14825.601383321005
2019-05-07,28526.825195318394,14560.143589211139
2019-05-08,28449.522357662732,14561.399819571589
2019-05-09,28357.38214457697,14483.470823201074
2019-05-10,28730.84499128106,14547.402762896321
2019-05-13,27941.867910698365,14201.202323073316
2019-05-14,28430.17155719018,14317.313274828264
2019-05-15,28476.982784835178,14382.34373156931
2019-05-16,28771.96596400226,14502.716228513887
2019-05-17,28401.563187194562,14447.380759698464
2019-05-20,28193.7717662995,14400.221192923798
2019-05-21,28348.53917640508,14510.931558883307
2019-05-22,28488.90021405163,14454.451573305314
2019-05-23,28208.969915440364,14293.996894581025
2019-05-24,28206.09823201513,14347.391613441161
2019-05-28,28044.34262856453,14213.976006328685
2019-05-29,27682.208455887412,14089.84686584763
2019-05-30,27937.844068586262,14114.223430043357
2019-05-31,27459.15793495698,13915.242893290186
2019-06-03,27248.62280848455,13917.901019780866
2019-06-04,27815.140407115076,14205.23386967908
2019-06-05,27955.98622101167,14321.529915532472
2019-06-06,28082.08400088033,14423.077576003305
2019-06-07,28264.32932653054,14570.713666986803
2019-06-10,28331.23254140933,14614.86791893229
2019-06-11,28150.643797001925,14606.9220154754
2019-06-12,28023.49960742918,14582.428261525038
2019-06-13,28118.875033231234,14639.591671466518
2019-06-14,28048.097911802644,14629.968968810112
2019-06-17,28108.948559243636,14642.821508722805
2019-06-18,28949.266209805144,14840.774718468045
2019-06-19,28863.05661226029,14862.34201424655
2019-06-20,29351.255213737255,15002.066153945061
2019-06-21,29246.330082568908,14982.9784619469
2019-06-24,29410.902755536506,14987.693432916149
2019-06-25,29168.014687003106,14887.139147281345
2019-06-26,29292.27363143635,14880.746281881226
2019-06-27,29240.318606329573,14875.003983904042
2019-06-28,29547.946477103,14916.15292102035
2019-07-01,29596.51095942781,14982.02451543953
2019-07-02,29689.459953204503,15020.857038246902
2019-07-03,29771.65932467572,15121.412419113058
2019-07-05,29798.880348922623,15096.805856333465
2019-07-08,29568.86535491594,15031.769923435662
2019-07-09,29444.90346942407,15019.068525449507
2019-07-10,29441.89096668086,15062.083736789182
2019-07-11,29842.08936686264,15189.869854753704
2019-07-12,30153.019200702503,15326.666441049008
2019-07-15,30221.28824906536,15341.88029975606
2019-07-16,30303.29661134235,15328.686047661622
2019-07-17,30109.926912967156,15263.760733130342
2019-07-18,30038.670666214937,15265.510912830427
2019-07-19,29915.389304224896,15226.946721704233
2019-07-22,29659.350813898014,15236.872803445072
2019-07-23,29933.34416397058,15336.289143705415
2019-07-24,29687.26772818835,15291.86656007875
2019-07-25,29680.045281483104,15219.534195915641
2019-07-26,29881.90532716809,15248.39573249675
2019-07-29,29972.525119486465,15264.601870808481
2019-07-30,29898.31179308736,15251.51933231192
2019-07-31,29839.942671555793,15064.366198926213
2019-08-01,29369.847926339724,14906.877406702444
2019-08-02,29261.322655351825,14851.693079813562
2019-08-05,28511.834643207087,14421.440205132452
2019-08-06,28794.591117764685,14596.273081042411
2019-08-07,28687.456529832132,14583.684491885484
2019-08-08,28889.000579757696,14791.792686724077
2019-08-09,29248.3219749721,14740.903857196728
2019-08-12,29220.63219267998,14521.647302428753
2019-08-13,29605.929803114064,14736.68174033576
2019-08-14,28695.4788714093,14287.800075592866
2019-08-15,28745.85608845834,14343.859492331792
2019-08-16,29215.134048772517,14515.798767010449
2019-08-19,29421.580820213734,14655.864618890704
2019-08-20,29022.591964186497,14558.657360266825
2019-08-21,29117.564241465763,14693.402578240315
2019-08-22,28953.990103946435,14721.165597775629
2019-08-23,28259.02177836336,14371.622511867106
2019-08-26,28621.027645989452,14522.987865603285
